title|content
상의 원전 등 무탄소에너지 산업경쟁력 제고 수단 활용|서울뉴시스대한상공회의소대한상의와 연합은 일 상의 국제회의장에서 무탄소에너지 잠재력 제고를 위한 세미나를 공동 개최했다 사진  대한상의    재판매 및  금지서울뉴시스이현주   재생에너지원전수소 등 다양한 무탄소에너지를 폭넓게 활용해야만 효과적인 탄소중립이 실현 가능하다는 주장이 나왔다 대한상공회의소대한상의와 연합은 일 상의 국제회의장에서 무탄소에너지 잠재력 제고를 위한 세미나를 공동 개최했다 이번 세미나에는 안덕근 산업부 장관 김상협 탄소중립녹색성장위원회 위원장 등 정부기관장 외에 우태희 대한상의 부회장 주현 산업연구원장 김현제 에너지경제연구원장 등이 참석했다 세미나에서는 우리 이 심화되고  국제 환경 규제에 대응하고 국제 경쟁력을 지속적으로 유지증진하기 위한 무탄소 에너지 활용 및 확대 방안에 대해 유관기관장과 각 분야 전문가들이 해법을 제시했다 이회성 연합 회장은 우리나라가 세계경제에서 기후위기 대응을 선도하고 새로운 국제규범을 설정하며 무탄소화 기술 개발과 확산을 주도하는 것은 우리나라의 국격에 부합하며 이와 같은 활동이 바로  이니셔티브라고 강조했다 안덕근 장관은 우리 의 탄소중립을 지원하기 위해 보조세제융자 기술혁신 등 다양한 노력을 기울여 나감과 함께 주요국과 조속히 무탄소에너지 이행기준을 마련해 국제사회에 통용될 수  노력해나가겠다고 밝혔다토론 참석자들은 첨단산업 등 제조업 비중이 높은 우리 산업의 여건 상 탄소중립 대응과 산업경쟁력 확보를 보다 효과적으로 달성하기 위해서는 다양한 무탄소에너지를 적극 활용해야 하며 무탄소에너지의 잠재력을 실제의 공급 능력 확충으로 연결해야 한다는 데 공감했다김용건 연세대 교수는 특정 기술이나 시나리오에 의존하지 않는 다양한 탄소중립 노력이 필요하다고 주장했으며 주현 산업연구원 원장은 재생원전수소 등 다양한 무탄소에너지의 공급 확대가 필요하다고 밝혔다 박종배 건국대 교수는 재생에너지 원전 등  이용 극대화를 위한 전력망 확충이 필요하다는 의견을 제시했으며 정범진 한국원자력학회장은 소형모듈원전 개발을 통한 원전 경쟁력 유지 등 다양한 의견을 제시했다
정부민간학계 모여 전력산업 무탄소화 논의산업경쟁력 직결|정부와 학계 주요 들이 모여 재생에너지원전수소 등 다양한 무탄소에너지를 폭넓게 활용해야만 글로벌 기후위기에 대응할 수  공감대를 형성했다 일 산업통상자원부가 후원하고 대한상의연합이 공동 개최한 무탄소에너지 잠재력 제고를 위한 세미나에선 기후위기 대응 체계 전환을 위한 전력과 산업공정의 무탄소화 방안이 활발하게 논의됐다  세미나엔 안덕근 산업부 장관 김상협 탄소중립녹색성장위원회 위원장 등 정부기관장 외에도 주현 산업연구원장 김현제 에너지경제연구원장 등 국책연구원장 국내 대학연구소의 저명한 전문가들이 참여했다  이회성 연합 회장은 개회사를 통해 우리나라가 세계경제에서 기후위기 대응을 선도하고 새로운 국제규범을 설정하며 무탄소화 기술 확산을 주도하는 것은 우리나라의 국격에 부합한다며 이와 같은 활동이 바로  이니셔티브라고 강조했다 우태희 대한상의 상근부회장은 환영사를 통해 우리의 제조역량에 전력산업부문 무탄소화 전략이 접목되면 미래시장 선점이 가능하다고 말했다 참석자들은 특정 기술이나 시나리오에 의존하지 않는 다양한 탄소중립 노력 필요 재생원전수소 등 다양한 무탄소에너지의 공급 확대 재생에너지 원전 등  이용 극대화를 위한 전력망 확충 그린수소 생산단가 절감을 위한 기술개발 및 금융지원 소형모듈원전 개발을 통한 원전 경쟁력 유지 등 다양한 의견을 제시했다 안덕근 산업부 장관은 탄소중립은 우리 들에게  선택이 아닌 생존을 위한 필수과제라며 산업경쟁력과도 직결되는 국가적 과제라고 강조했다 이어 주요국과 무탄소에너지 이행기준을 조속히 마련하는 등  이니셔티브의 국제 확산을 통해 우리 의 탄소중립 달성을 지원해 나가겠다고 덧붙였다 김상협 탄소중립녹색성장위원장은  이니셔티브의 성공을 위해서는 산업계의 호응과 참여를 얻는 것이 중요하다며 글로벌 탄소중립에 기여하는 국제규범으로 폭넓게 인정받을 수  노력하자고 강조했다
원전 포함 무탄소에너지가 탄소중립산업발전 성공방정식|'대한상의연합  잠재력 제고 세미나 공동 개최



사진연합뉴스이회성 무탄소연합 회장사진은 일 우리나라가 세계 경제에서 기후위기 대응을 선도하고 새로운 국제규범을 설정해 무탄소화 기술 확산을 주도하는 것은 한국의 국격에 부합한다고 말했다이 회장은 이날 서울 중구 대한상의에서 열린 무탄소에너지 잠재력 제고를 위한 세미나에서 무탄소에너지 이니셔티브 활동의 중요성을 강조하며 이같이 밝혔다이날 세미나는 산업통상자원부가 후원하고 대한상의 연합이 공동으로 개최됐다 세미나에는 안덕근 산업부 장관을 비롯해 김상협 탄소중립녹색성장위원회 위원장 주현 산업연구원장 김현제 에너지경제연구원장 등 전문가들이 대거 참석했다이 자리에서 전문가들은 원전들 포함한 다양한 에너지원의 활용이 무탄소경제 이행에 중요하다고 강조했다 먼저 대한상의 우태희 상근부회장은 환영사를 통해 우리의 제조역량에 전력산업부문 무탄소화 전략이 접목되면 미래시장 선점이 가능하다고 밝혔다또 김현제 에너지경제연구원장은 각 에너지원의 기술적인 특성 경제성 사회적 수용성 등을 종합적으로 고려해야 한다며 이를 통해 다양한 무탄소 에너지원의 공급 역량을 제고해야 한다고 강조했다 유승훈 서울과기대 교수 역시 원전 액화천연가스 탄소 포집저장활용 청정수소 등의 공급 안정성을 추구하고 낮은 에너지 가격을 담보할 수  다양한 무탄소에너지가 필요하다고 말했다를 확대하기 위해선 소형모듈원자로 개발이 필요하다는 의견도 나왔다 정범진 한국원자력학회 회장은 유럽연합 녹색분류체계택소노미에 원전이 포함되는 등 원전산업 생태계를 조성하고  점을 고려한다면  확대 차원에서 차세대 원자로 및  개발이 필요하다고 주장했다앞서 지난해 월 유엔기후변화협약 당사국총회에서는 처음으로 재생에너지뿐만 아니라 원전 수소  등을 주요 탄소 감축 수단으로 명기한 바  산업부는 이번 세미나에서 논의된 내용이 과 결을 같이한다고 평가했다안덕근 산업부 장관은 탄소중립은 우리 에  선택이 아닌 생존을 위한 필수과제이며 산업경쟁력과도 직결되는 국가적 과제라며 주요국과 무탄소에너지 이행 기준을 조속히 마련하는 등  이니셔티브의 국제 확산을 통해 우리 의 탄소중립 달성을 지원할 것이라고 밝혔다'
이회성 연합 회장  무탄소화 기술 확산 주도해야|이회성 연합 회장 사진전자신문이회성 무탄소연합 회장은 일 우리나라가 세계 경제에서 기후위기 대응을 선도하고 새로운 국제규범을 설정해 무탄소화 기술 확산을 주도하는 것은 한국의 국격에 부합한다고 강조했다이 회장은 이날 서울 중구 대한상의에서 열린 무탄소에너지 잠재력 제고를 위한 세미나에서 무탄소에너지 이니셔티브 활동의 중요성을 강조하며 이같이 밝혔다이날 행사는 산업통상자원부가 후원하고 대한상의 연합이 공동으로 개최했다 안덕근 산업부 장관을 비롯해 김상협 탄소중립녹색성장위원회 위원장 주현 산업연구원장 김현제 에너지경제연구원장 등 전문가들이 참석했다세미나는 글로벌 기후위기 패러다임 전환 무탄소경제 이행 전략 등으로 나뉘어 진행됐다 기후위기 대응 체계를 전환하기 위한 전력과 산업공정의 무탄소화 방안 등이 논의됐다참석자들은 탄소중립 대응과 산업경쟁력 확보를 효과적으로 달성하기 위한 방안으로 원전을 포함한 무탄소에너지의 잠재력을 실제 공급 능력 확충으로 연결해야 한다는 데 공감대를 형성했다정범진 한국원자력학회 회장은 유럽연합 녹색분류체계택소노미에 원전이 포함되는 등 원전산업 생태계를 조성하고  점을 고려한다면  확대 차원에서 차세대 원자로 및 소형모듈원자로 개발이 필요하다고 주장했다김용건 연세대 교수는 특정 탄소중립 기술과 시나리오에 의존하기보다는 다양한 기술 포트폴리오를 구성해 불확실성에 대비할 필요가 고 제언했고 김현제 에너지경제연구원장은 각 에너지원의 기술적인 특성 경제성 사회적 수용성 등을 종합적으로 고려해야 한다며 이를 통해 다양한 무탄소 에너지원의 공급 역량을 제고해야 한다고 강조했다유승훈 서울과기대 교수는 원전 액화천연가스 탄소 포집저장활용 청정수소 등의 공급 안정성을 추구하고 낮은 에너지 가격을 담보할 수  다양한 무탄소에너지가 필요하다고 말했다박종배 건국대 교수는 디지털화에 따라 국내 전력수요가 급증할 것으로 전망됨에 따라  활용을 극대화하기 위한 송전망 확충이 필요하다고 했다안덕근 산업부 장관은 탄소중립은 우리 에  선택이 아닌 생존을 위한 필수과제이며 산업경쟁력과도 직결되는 국가적 과제라며 주요국과 무탄소에너지 이행 기준을 조속히 마련하는 등  이니셔티브의 국제 확산을 통해 우리 의 탄소중립 달성을 지원할 것이라고 밝혔다
재생에너지수소 등 무탄소화 기술 확산 한국이 주도해야|'대한상의연합  잠재력 제고 세미나 공동 개최무탄소에너지 활용해야 탄소중립 실현 가능

